Jackbox,Mar,4,Thursday,"Quiplash to Party Pack, baby.",https://pbs.twimg.com/media/EgTLkt6XYAI_QeR.jpg
Overwatch_3v3s,Mar,11,Thursday,Community game night - no formal bracket. Just fragging.,https://img0.etsystatic.com/163/0/13555616/il_570xN.1112156364_cruz.jpg
Sea_of_Thieves,Mar,18,Thursday,No Input,https://s2.gaming-cdn.com/images/products/967/orig/sea-of-thieves-pc-xbox-one-cover.jpg
Valorant_3v3s,Mar,25,Thursday,"No bracket, mix & match teams. ",https://www.myesportsbettingodds.com/app/uploads/2020/04/valorant-cover-updated.jpg
Super_Spring_Break_Ultimate,Apr,1,Thursday,SSBU Tournament Invitational (WSSEA),https://store-images.s-microsoft.com/image/apps.45782.9007199266731945.debbc4f1-cde0-491b-8c6f-b6b015eecab6.4716cccc-5f37-4bb5-9db1-0c1dbc99003f?mode=scale&q=90&h=200&w=200&background=%23000000
Fortnite,Apr,15,Thursday,"Who will be #1 (hint: it's me, I will be)",https://www.nintendo.com/content/dam/noa/en_US/games/switch/f/fortnite-switch/fortnite-switch-hero.jpg
Summer_series,July,1,Thursday,Valorant Summer Series,https://www.myesportsbettingodds.com/app/uploads/2020/04/valorant-cover-updated.jpg
Overwatch,Nov,25,Saturday,Reapers Harvest (Overwatch) 6 teams & double elim = 12 games,https://img0.etsystatic.com/163/0/13555616/il_570xN.1112156364_cruz.jpg
